Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Morningside Heights,40.807999738165826,-73.96389627905332,Mel's Burger Bar,40.80454679733712,-73.96632597507246,Burger Joint
Morningside Heights,40.807999738165826,-73.96389627905332,Hartley Pharmacy,40.809271543815115,-73.95923134773798,Pharmacy
Morningside Heights,40.807999738165826,-73.96389627905332,Westside Market,40.8042546041038,-73.96659969137721,Grocery Store
Morningside Heights,40.807999738165826,-73.96389627905332,Flat Top,40.81009651809897,-73.95864416497653,New American Restaurant
Morningside Heights,40.807999738165826,-73.96389627905332,Koronet Pizza,40.80450924137849,-73.9664393672695,Pizza Place
Morningside Heights,40.807999738165826,-73.96389627905332,Elysian Fields Cafe,40.808862,-73.959361,Mediterranean Restaurant
Morningside Heights,40.807999738165826,-73.96389627905332,SubsConscious,40.80913324660189,-73.9593534737463,Deli / Bodega
Morningside Heights,40.807999738165826,-73.96389627905332,Massawa,40.80990900759862,-73.95880629802144,Ethiopian Restaurant
Morningside Heights,40.807999738165826,-73.96389627905332,Grace Dodge Cafe,40.81021974726761,-73.95944117402486,College Cafeteria
Morningside Heights,40.807999738165826,-73.96389627905332,Ajanta Indian Restaurant,40.80990543935106,-73.95882387776453,Indian Restaurant
Morningside Heights,40.807999738165826,-73.96389627905332,Apple Tree Supermarket,40.80951618641807,-73.95909259548225,Supermarket
Morningside Heights,40.807999738165826,-73.96389627905332,밀 The Korean Restaurant,40.80843185692195,-73.95906633750675,Korean Restaurant
Morningside Heights,40.807999738165826,-73.96389627905332,Eden Salon & Spa,40.80988560561682,-73.95883687053498,Spa
Morningside Heights,40.807999738165826,-73.96389627905332,Zipcar W 122 b/w Bway & Amsterdam,40.811492595093235,-73.96043241921166,Rental Car Location
Sheepshead Bay,40.58689012678384,-73.94318640482979,Opera Cafe Lounge,40.58384173638549,-73.94448064550176,Turkish Restaurant
Sheepshead Bay,40.58689012678384,-73.94318640482979,Roll N Roaster,40.584143455001524,-73.93955540497697,Sandwich Place
Sheepshead Bay,40.58689012678384,-73.94318640482979,Liman Restaurant,40.58336786775719,-73.94105317526062,Turkish Restaurant
Sheepshead Bay,40.58689012678384,-73.94318640482979,Hot Spot Yoga,40.584449012715766,-73.94503564581134,Yoga Studio
Sheepshead Bay,40.58689012678384,-73.94318640482979,Cats on the Bay,40.583823962132676,-73.94684939065917,Restaurant
Sheepshead Bay,40.58689012678384,-73.94318640482979,Rocca Cafe & Lounge,40.58337120337256,-73.94084083874,Turkish Restaurant
Sheepshead Bay,40.58689012678384,-73.94318640482979,Yogurt City,40.583854707888854,-73.94662980777206,Dessert Shop
Sheepshead Bay,40.58689012678384,-73.94318640482979,Emmons Palace,40.583975,-73.944485,Dessert Shop
Sheepshead Bay,40.58689012678384,-73.94318640482979,Dessert Palace,40.58383257208411,-73.94425972743441,Dessert Shop
Sheepshead Bay,40.58689012678384,-73.94318640482979,Il Fornetto,40.58337792928743,-73.93948662464095,Italian Restaurant
Sheepshead Bay,40.58689012678384,-73.94318640482979,Kouros Bay Diner,40.58976071228596,-73.93971282705247,Diner
Sheepshead Bay,40.58689012678384,-73.94318640482979,Macy's Backstage,40.58404171060845,-73.94690041596277,Outlet Store
Sheepshead Bay,40.58689012678384,-73.94318640482979,Connie's Pizzeria,40.59017383063587,-73.93951688663121,Pizza Place
Sheepshead Bay,40.58689012678384,-73.94318640482979,Silver Star Meats,40.59030410263241,-73.94012052434758,Grocery Store
Sheepshead Bay,40.58689012678384,-73.94318640482979,Applebee's Grill + Bar,40.58388785,-73.94323487,American Restaurant
Sheepshead Bay,40.58689012678384,-73.94318640482979,Subway Restaurant,40.589985,-73.939343,Sandwich Place
Sheepshead Bay,40.58689012678384,-73.94318640482979,Party City,40.590238165137585,-73.93963629847698,Miscellaneous Shop
Sheepshead Bay,40.58689012678384,-73.94318640482979,The Brass Rail,40.58877890304311,-73.94750706268368,Karaoke Bar
Sheepshead Bay,40.58689012678384,-73.94318640482979,Seaport Buffet,40.58381893954623,-73.94718755603357,Buffet
Sheepshead Bay,40.58689012678384,-73.94318640482979,Passage,40.583739446281626,-73.94706592759532,Russian Restaurant
Sheepshead Bay,40.58689012678384,-73.94318640482979,Cafe Aziza 7,40.588798807356675,-73.94750007715714,Café
Sheepshead Bay,40.58689012678384,-73.94318640482979,Golden Grocery,40.58663941109409,-73.94528034318515,Deli / Bodega
Sheepshead Bay,40.58689012678384,-73.94318640482979,Pier 2 sheepshead harbor,40.58346923510882,-73.94310815173064,Harbor / Marina
Sheepshead Bay,40.58689012678384,-73.94318640482979,XO Creperie,40.58378968428542,-73.9472308459848,Creperie
Sheepshead Bay,40.58689012678384,-73.94318640482979,Best Western Plus Brooklyn Bay Hotel,40.58416374593927,-73.93852360279203,Hotel
Lenox Hill,40.76811265828733,-73.9588596881376,Whiskey & Wine Off 69,40.76727170418045,-73.95954398347956,Liquor Store
Lenox Hill,40.76811265828733,-73.9588596881376,sweetgreen,40.76712827653142,-73.95684622228146,Salad Place
Lenox Hill,40.76811265828733,-73.9588596881376,Up Thai,40.76989759006919,-73.9575976933572,Thai Restaurant
Lenox Hill,40.76811265828733,-73.9588596881376,Cigar Inn,40.76877634685164,-73.95622190002375,Smoke Shop
Lenox Hill,40.76811265828733,-73.9588596881376,Mission Ceviche,40.769218,-73.957901,Restaurant
Lenox Hill,40.76811265828733,-73.9588596881376,Marymount Manhattan College,40.769232464055726,-73.95965795209456,College Academic Building
Lenox Hill,40.76811265828733,-73.9588596881376,Anthropologie,40.76929584181941,-73.96108483574552,Women's Store
Lenox Hill,40.76811265828733,-73.9588596881376,Donna Margherita,40.766452,-73.959905,Pizza Place
Lenox Hill,40.76811265828733,-73.9588596881376,A Matter of Health,40.76802836725529,-73.95593309596553,Health Food Store
Lenox Hill,40.76811265828733,-73.9588596881376,La Esquina,40.76945123405223,-73.95778164213363,Taco Place
Lenox Hill,40.76811265828733,-73.9588596881376,Bohemian Spirit Restaurant,40.7691142,-73.9565393,Czech Restaurant
Lenox Hill,40.76811265828733,-73.9588596881376,Equinox East 74th Street,40.77046,-73.957387,Gym
Lenox Hill,40.76811265828733,-73.9588596881376,5 Napkin Burger,40.7674315,-73.9596625,Burger Joint
Lenox Hill,40.76811265828733,-73.9588596881376,Afghan Kebab House II,40.76802139999999,-73.95915719999999,Afghan Restaurant
Lenox Hill,40.76811265828733,-73.9588596881376,The Sweet Shop NYC,40.768295325636124,-73.95500318463608,Dessert Shop
Lenox Hill,40.76811265828733,-73.9588596881376,Bohemian National Hall,40.76900288892712,-73.95666596661471,Art Gallery
Lenox Hill,40.76811265828733,-73.9588596881376,THEP Thai Restaurant,40.770743347003574,-73.95705953980662,Thai Restaurant
Lenox Hill,40.76811265828733,-73.9588596881376,Grace's Marketplace,40.76644352861987,-73.96025559386517,Gourmet Shop
Lenox Hill,40.76811265828733,-73.9588596881376,Flying Tiger Copenhagen,40.770898319516576,-73.95993055564092,Gift Shop
Lenox Hill,40.76811265828733,-73.9588596881376,Refine Method,40.76731526713521,-73.9568866274976,Gym
Lenox Hill,40.76811265828733,-73.9588596881376,CYC Fitness,40.768987784829804,-73.9607971294755,Cycle Studio
Lenox Hill,40.76811265828733,-73.9588596881376,Journelle,40.77040141443128,-73.96018265489835,Lingerie Store
Lenox Hill,40.76811265828733,-73.9588596881376,J.G. Melon,40.77105,-73.95931,Burger Joint
Lenox Hill,40.76811265828733,-73.9588596881376,T-Bar Steak & Lounge,40.770634172936816,-73.96000318896644,Cocktail Bar
Lenox Hill,40.76811265828733,-73.9588596881376,Kome Waza UES,40.765601636058776,-73.95740334822048,Japanese Restaurant
Lenox Hill,40.76811265828733,-73.9588596881376,The Fhitting Room Penthouse,40.766466038164914,-73.96262874941318,Gym
Lenox Hill,40.76811265828733,-73.9588596881376,Maison Kayser,40.77131932572194,-73.95959246401709,Bakery
Lenox Hill,40.76811265828733,-73.9588596881376,The P.E. Club,40.77101827851563,-73.95761331851189,Gym / Fitness Center
Lenox Hill,40.76811265828733,-73.9588596881376,SLT E 67,40.766508,-73.962584,Gym / Fitness Center
Lenox Hill,40.76811265828733,-73.9588596881376,Millesima,40.76843972953615,-73.95866210214402,Wine Shop
Lenox Hill,40.76811265828733,-73.9588596881376,Jean Claude II,40.767935,-73.959209,French Restaurant
Lenox Hill,40.76811265828733,-73.9588596881376,Flywheel Sports,40.7664934,-73.9624749,Cycle Studio
Lenox Hill,40.76811265828733,-73.9588596881376,Dr. Wine,40.766071126880135,-73.95711924412988,Wine Shop
Lenox Hill,40.76811265828733,-73.9588596881376,B. Cafe - East,40.77095251409253,-73.9576186318982,Café
Lenox Hill,40.76811265828733,-73.9588596881376,Paper Source,40.77150016132978,-73.9594352363973,Paper / Office Supplies Store
Lenox Hill,40.76811265828733,-73.9588596881376,Shanghai,40.768334,-73.958493,Chinese Restaurant
Lenox Hill,40.76811265828733,-73.9588596881376,Candle Cafe,40.771407,-73.959138,Vegetarian / Vegan Restaurant
Lenox Hill,40.76811265828733,-73.9588596881376,A La Turka,40.770127907296214,-73.9574354558078,Turkish Restaurant
Lenox Hill,40.76811265828733,-73.9588596881376,Padoca Bakery,40.7652354210648,-73.95791343863608,Bakery
Lenox Hill,40.76811265828733,-73.9588596881376,NR,40.770082,-73.954978,Cocktail Bar
Lenox Hill,40.76811265828733,-73.9588596881376,Campagnola Restaurant,40.76891229915657,-73.95526786844196,Italian Restaurant
Lenox Hill,40.76811265828733,-73.9588596881376,Bareburger,40.768504958401984,-73.95519116524162,Burger Joint
Lenox Hill,40.76811265828733,-73.9588596881376,Structure Personal Fitness,40.770471174428444,-73.96188967243695,Gym / Fitness Center
Lenox Hill,40.76811265828733,-73.9588596881376,Uskudar,40.76976,-73.95802,Turkish Restaurant
Lenox Hill,40.76811265828733,-73.9588596881376,Oren's Daily Roast,40.769755718510254,-73.96266688394745,Coffee Shop
Lenox Hill,40.76811265828733,-73.9588596881376,Bagelworks,40.76429402165898,-73.95851808553275,Bagel Shop
Lenox Hill,40.76811265828733,-73.9588596881376,2nd Floor Bar & Essen,40.769686794793905,-73.95435011649448,Cocktail Bar
Lenox Hill,40.76811265828733,-73.9588596881376,BHLDN,40.769301928228664,-73.96109133471174,Bridal Shop
Lenox Hill,40.76811265828733,-73.9588596881376,State News,40.76949902453885,-73.96080790241002,Toy / Game Store
Lenox Hill,40.76811265828733,-73.9588596881376,Sushi Ishikawa,40.7687413369592,-73.95412577434611,Sushi Restaurant
Lenox Hill,40.76811265828733,-73.9588596881376,Nike Running,40.7664195,-73.9628462,Sporting Goods Shop
Lenox Hill,40.76811265828733,-73.9588596881376,Shakespeare & Co,40.76824324874706,-73.96374543580556,Bookstore
Lenox Hill,40.76811265828733,-73.9588596881376,Unleashed by Petco,40.76683457862311,-73.96274261976328,Pet Store
Lenox Hill,40.76811265828733,-73.9588596881376,Chipotle Mexican Grill,40.765986622496065,-73.95704657423971,Mexican Restaurant
Lenox Hill,40.76811265828733,-73.9588596881376,Boqueria,40.7715096,-73.956073,Spanish Restaurant
Lenox Hill,40.76811265828733,-73.9588596881376,Sotheby's,40.76649436504987,-73.95400261596386,Art Gallery
Lenox Hill,40.76811265828733,-73.9588596881376,Delizia 73 Ristorante & Pizza,40.76873386522408,-73.95533009269842,Italian Restaurant
Lenox Hill,40.76811265828733,-73.9588596881376,Sophie's Cuban Cuisine,40.76508835870189,-73.95754765013382,Cuban Restaurant
Lenox Hill,40.76811265828733,-73.9588596881376,The Coffee Inn,40.766767,-73.956515,Coffee Shop
Lenox Hill,40.76811265828733,-73.9588596881376,Sokol New York,40.766653159251426,-73.95533533866734,Club House
Lenox Hill,40.76811265828733,-73.9588596881376,The Playroom NYC,40.769811,-73.95534,Playground
Lenox Hill,40.76811265828733,-73.9588596881376,Gotham Coffee House,40.766417653227954,-73.96021931346488,Coffee Shop
Lenox Hill,40.76811265828733,-73.9588596881376,The Pony Bar,40.769780846710525,-73.95449468539174,Bar
Lenox Hill,40.76811265828733,-73.9588596881376,Inès,40.76877142375057,-73.95420859195518,Café
Lenox Hill,40.76811265828733,-73.9588596881376,Just Salad,40.7665947820789,-73.95661672294442,Salad Place
Lenox Hill,40.76811265828733,-73.9588596881376,Tanoshi Sushi,40.76774705779318,-73.95320282682466,Sushi Restaurant
Lenox Hill,40.76811265828733,-73.9588596881376,Lovella Salon,40.7662582,-73.9599509,Salon / Barbershop
Lenox Hill,40.76811265828733,-73.9588596881376,The Hunterian,40.766097,-73.955904,Cocktail Bar
Lenox Hill,40.76811265828733,-73.9588596881376,Oslo Coffee Roasters,40.769363626993965,-73.95359768642824,Coffee Shop
Lenox Hill,40.76811265828733,-73.9588596881376,Le Gourmet,40.765354396047655,-73.95770137404709,Café
